,run,score,decision,acrobatie
9808,5,33,"[6, 5, 6, 6, 6, 4]",False
9809,3,7,"[1, 1, 2, 1, 1, 1]",False
9810,5,27,"[6, 5, 6, 3, 5, 2]",False
9811,5,30,"[1, 6, 6, 6, 6, 5]",True
9812,6,26,"[6, 6, 2, 6, 2, 4]",False
9813,4,15,"[1, 1, 2, 2, 3, 6]",False
9814,6,22,"[2, 4, 2, 5, 4, 5]",False
9815,5,18,"[1, 2, 2, 2, 6, 5]",False
9816,4,12,"[1, 2, 1, 1, 1, 6]",False
9817,4,14,"[1, 1, 2, 2, 6, 2]",False
9818,5,15,"[1, 2, 3, 2, 3, 4]",False
9819,4,32,"[6, 6, 5, 5, 6, 4]",False
9820,5,13,"[1, 2, 1, 4, 2, 3]",False
9821,5,16,"[1, 2, 2, 1, 4, 6]",False
9822,4,16,"[6, 1, 1, 1, 2, 5]",True
9823,5,14,"[1, 2, 1, 5, 4, 1]",False
9824,4,11,"[1, 1, 2, 1, 2, 4]",False
9825,5,33,"[6, 6, 6, 6, 5, 4]",False
9826,5,14,"[1, 2, 1, 3, 2, 5]",False
9827,6,34,"[5, 6, 6, 6, 5, 6]",False
9828,6,10,"[2, 2, 2, 2, 1, 1]",False
9829,3,31,"[6, 6, 5, 5, 4, 5]",False
9830,4,11,"[1, 2, 1, 1, 2, 4]",False
9831,4,29,"[6, 5, 5, 3, 6, 4]",False
9832,4,32,"[6, 5, 6, 6, 5, 4]",False
9833,4,28,"[6, 5, 3, 6, 6, 2]",False
9834,5,26,"[6, 5, 6, 5, 2, 2]",False
9835,4,30,"[5, 6, 6, 6, 6, 1]",False
9836,5,31,"[6, 6, 5, 5, 3, 6]",False
9837,3,11,"[1, 1, 2, 2, 3, 2]",False
9838,6,17,"[1, 2, 1, 5, 2, 6]",False
9839,5,13,"[1, 2, 2, 4, 3, 1]",False
9840,6,11,"[2, 1, 2, 2, 3, 1]",False
9841,5,25,"[6, 5, 6, 3, 4, 1]",False
9842,6,15,"[2, 2, 2, 2, 6, 1]",False
9843,5,32,"[6, 6, 4, 4, 6, 6]",False
9844,3,11,"[1, 1, 2, 2, 3, 2]",False
9845,4,31,"[6, 5, 5, 5, 6, 4]",False
9846,3,12,"[1, 1, 2, 2, 2, 4]",False
9847,5,17,"[2, 3, 1, 1, 4, 6]",False
9848,5,31,"[5, 6, 6, 6, 5, 3]",False
9849,4,33,"[6, 6, 6, 5, 4, 6]",False
9850,4,28,"[6, 5, 5, 6, 4, 2]",False
9851,5,11,"[1, 3, 1, 1, 4, 1]",False
9852,4,29,"[6, 5, 5, 5, 5, 3]",False
9853,4,32,"[6, 5, 6, 6, 6, 3]",False
9854,4,29,"[6, 6, 5, 5, 2, 5]",False
9855,5,24,"[6, 5, 6, 3, 2, 2]",False
9856,4,28,"[6, 5, 5, 6, 5, 1]",False
9857,5,15,"[1, 2, 2, 2, 6, 2]",False
9858,5,12,"[1, 1, 2, 1, 1, 6]",False
9859,5,20,"[1, 2, 5, 4, 4, 4]",False
9860,5,27,"[6, 6, 6, 5, 2, 2]",False
9861,6,26,"[5, 5, 5, 5, 2, 4]",False
9862,5,17,"[1, 1, 2, 4, 5, 4]",False
9863,1,33,"[6, 6, 6, 5, 5, 5]",False
9864,3,30,"[6, 6, 5, 6, 6, 1]",False
9865,4,29,"[6, 5, 5, 6, 5, 2]",False
9866,5,29,"[6, 6, 5, 6, 2, 4]",False
9867,3,29,"[6, 6, 6, 6, 3, 2]",False
9868,6,30,"[5, 4, 6, 5, 6, 4]",False
9869,4,33,"[6, 6, 6, 5, 5, 5]",False
9870,4,11,"[1, 1, 1, 4, 3, 1]",False
9871,5,25,"[6, 6, 3, 4, 1, 5]",False
9872,3,11,"[1, 1, 2, 2, 4, 1]",False
9873,4,9,"[2, 2, 2, 1, 1, 1]",False
9874,3,34,"[6, 6, 5, 5, 6, 6]",False
9875,4,28,"[6, 5, 5, 3, 6, 3]",False
9876,5,14,"[1, 2, 1, 4, 5, 1]",False
9877,5,14,"[1, 2, 1, 4, 1, 5]",False
9878,5,32,"[6, 6, 5, 3, 6, 6]",False
9879,4,9,"[1, 1, 2, 2, 2, 1]",False
9880,5,10,"[1, 2, 1, 1, 2, 3]",False
9881,4,31,"[6, 5, 6, 6, 4, 4]",False
9882,5,30,"[6, 6, 6, 6, 4, 2]",False
9883,4,32,"[6, 5, 6, 6, 4, 5]",False
9884,4,34,"[6, 6, 6, 5, 5, 6]",False
9885,4,17,"[1, 2, 1, 1, 6, 6]",False
9886,5,11,"[2, 2, 1, 1, 2, 3]",False
9887,4,29,"[6, 6, 6, 5, 5, 1]",False
9888,5,14,"[1, 2, 2, 1, 3, 5]",False
9889,1,31,"[6, 6, 6, 6, 4, 3]",False
9890,6,30,"[5, 6, 4, 6, 6, 3]",False
9891,2,31,"[6, 6, 6, 6, 6, 1]",False
9892,4,32,"[6, 6, 5, 6, 4, 5]",False
