,run,score,decision,acrobatie
9035,4,35,"[6, 6, 6, 6, 6, 5]",False
9036,4,29,"[6, 6, 6, 5, 4, 2]",False
9037,6,9,"[1, 3, 2, 1, 1, 1]",False
9038,6,15,"[2, 3, 1, 1, 4, 4]",False
9039,5,31,"[6, 6, 6, 6, 3, 4]",False
9040,5,14,"[1, 1, 3, 1, 2, 6]",False
9041,6,13,"[1, 3, 2, 3, 1, 3]",False
9042,4,31,"[6, 6, 6, 6, 5, 2]",False
9043,4,30,"[6, 6, 6, 5, 6, 1]",False
9044,6,16,"[1, 3, 3, 3, 3, 3]",False
9045,6,31,"[6, 6, 5, 6, 5, 3]",False
9046,4,10,"[1, 1, 1, 1, 1, 5]",False
9047,3,9,"[1, 1, 1, 1, 3, 2]",False
9048,6,29,"[5, 5, 6, 4, 3, 6]",False
9049,4,31,"[6, 6, 6, 4, 4, 5]",False
9050,5,31,"[6, 6, 5, 6, 4, 4]",False
9051,4,31,"[6, 6, 6, 6, 6, 1]",False
9052,3,10,"[1, 1, 1, 1, 2, 4]",False
9053,6,31,"[6, 5, 5, 6, 3, 6]",False
9054,5,29,"[5, 6, 6, 6, 5, 1]",False
9055,6,31,"[6, 4, 6, 5, 6, 4]",False
9056,5,26,"[6, 6, 6, 4, 2, 2]",False
9057,5,29,"[6, 6, 6, 6, 3, 2]",False
9058,6,33,"[6, 6, 6, 6, 5, 4]",False
9059,4,26,"[6, 6, 6, 4, 3, 1]",False
9060,6,30,"[5, 6, 5, 5, 3, 6]",False
9061,3,35,"[6, 6, 6, 6, 6, 5]",False
9062,4,34,"[6, 6, 6, 6, 4, 6]",False
9063,4,33,"[6, 6, 6, 6, 3, 6]",False
9064,6,33,"[6, 6, 6, 4, 5, 6]",False
9065,6,12,"[1, 2, 1, 2, 5, 1]",False
9066,6,35,"[6, 6, 5, 6, 6, 6]",False
9067,5,28,"[6, 6, 3, 6, 5, 2]",False
9068,6,15,"[1, 3, 2, 4, 1, 4]",False
9069,5,13,"[1, 2, 1, 1, 2, 6]",False
9070,6,19,"[2, 1, 2, 4, 6, 4]",False
9071,5,30,"[6, 6, 6, 6, 5, 1]",False
9072,6,30,"[6, 6, 5, 4, 5, 4]",False
9073,6,29,"[6, 6, 5, 6, 4, 2]",False
9074,5,14,"[1, 1, 1, 4, 1, 6]",False
9075,4,11,"[1, 1, 1, 1, 2, 5]",False
9076,5,28,"[6, 6, 6, 2, 4, 4]",False
9077,5,15,"[1, 1, 3, 3, 5, 2]",False
9078,2,34,"[6, 6, 6, 6, 5, 5]",False
9079,5,31,"[6, 5, 5, 6, 6, 3]",False
9080,6,23,"[6, 5, 4, 4, 2, 2]",False
9081,5,12,"[1, 1, 1, 1, 2, 6]",False
9082,6,12,"[1, 2, 1, 1, 3, 4]",False
9083,6,27,"[6, 5, 6, 3, 4, 3]",False
9084,6,10,"[1, 1, 4, 1, 1, 2]",False
9085,6,15,"[1, 2, 2, 1, 4, 5]",False
9086,3,34,"[6, 6, 6, 4, 6, 6]",False
9087,4,30,"[6, 6, 5, 6, 6, 1]",False
9088,5,30,"[6, 6, 6, 2, 6, 4]",False
9089,4,8,"[1, 1, 1, 1, 1, 3]",False
9090,5,28,"[6, 6, 4, 6, 4, 2]",False
9091,5,9,"[1, 1, 1, 2, 3, 1]",False
9092,5,32,"[6, 6, 6, 6, 6, 2]",False
9093,6,13,"[2, 2, 1, 4, 3, 1]",False
9094,4,8,"[1, 1, 1, 1, 2, 2]",False
9095,5,27,"[6, 6, 5, 6, 3, 1]",False
9096,5,12,"[1, 1, 4, 3, 2, 1]",False
9097,4,8,"[1, 1, 2, 1, 1, 2]",False
9098,5,13,"[1, 1, 5, 1, 1, 4]",False
9099,6,35,"[6, 6, 6, 6, 5, 6]",False
9100,5,32,"[6, 6, 6, 5, 4, 5]",False
9101,6,15,"[1, 1, 2, 2, 4, 5]",False
9102,6,32,"[6, 6, 5, 6, 5, 4]",False
9103,5,28,"[6, 6, 6, 5, 4, 1]",False
9104,5,8,"[1, 1, 2, 2, 1, 1]",False
9105,5,29,"[6, 6, 5, 6, 3, 3]",False
9106,5,7,"[1, 1, 1, 1, 2, 1]",False
9107,3,32,"[6, 6, 6, 6, 6, 2]",False
9108,3,7,"[1, 1, 1, 1, 1, 2]",False
9109,5,33,"[6, 6, 6, 4, 6, 5]",False
9110,3,11,"[1, 1, 3, 1, 3, 2]",False
9111,6,29,"[6, 5, 3, 5, 6, 4]",False
9112,6,25,"[5, 5, 3, 3, 6, 3]",False
9113,5,10,"[1, 1, 1, 2, 4, 1]",False
9114,5,14,"[1, 1, 1, 4, 6, 1]",False
9115,6,29,"[6, 5, 6, 6, 4, 2]",False
9116,6,29,"[6, 6, 6, 5, 5, 1]",False
9117,4,28,"[6, 6, 6, 4, 1, 5]",False
9118,5,30,"[6, 6, 6, 2, 5, 5]",False
9119,6,32,"[6, 5, 5, 5, 5, 6]",False
9120,4,35,"[6, 6, 6, 6, 5, 6]",False
9121,6,16,"[1, 2, 2, 4, 5, 2]",False
9122,3,32,"[5, 5, 6, 6, 5, 5]",False
9123,5,8,"[1, 1, 2, 1, 2, 1]",False
9124,4,33,"[6, 6, 5, 6, 6, 4]",False
9125,6,34,"[6, 5, 6, 6, 5, 6]",False
9126,5,29,"[6, 6, 6, 5, 5, 1]",False
9127,4,10,"[1, 1, 1, 2, 2, 3]",False
9128,5,17,"[1, 1, 4, 3, 2, 6]",False
9129,5,29,"[6, 6, 4, 4, 5, 4]",False
9130,6,13,"[1, 3, 1, 3, 2, 3]",False
9131,5,30,"[6, 6, 4, 6, 4, 4]",False
9132,5,13,"[1, 1, 2, 3, 3, 3]",False
9133,6,9,"[1, 3, 1, 1, 2, 1]",False
9134,5,30,"[6, 6, 6, 6, 3, 3]",False
9135,4,14,"[1, 1, 1, 2, 5, 4]",False
9136,4,33,"[6, 6, 6, 6, 6, 3]",False
9137,6,27,"[6, 5, 6, 5, 4, 1]",False
9138,6,27,"[5, 4, 6, 5, 3, 4]",False
9139,5,28,"[6, 4, 6, 6, 4, 2]",False
9140,4,33,"[6, 6, 6, 4, 6, 5]",False
9141,4,11,"[1, 1, 1, 1, 2, 5]",False
9142,6,29,"[6, 5, 6, 5, 5, 2]",False
9143,4,9,"[1, 1, 3, 1, 1, 2]",False
9144,6,28,"[6, 3, 6, 5, 5, 3]",False
9145,6,11,"[1, 1, 3, 4, 1, 1]",False
9146,3,31,"[6, 4, 6, 6, 5, 4]",False
9147,5,29,"[6, 6, 3, 6, 4, 4]",False
9148,3,10,"[1, 1, 3, 1, 2, 2]",False
9149,5,13,"[1, 1, 2, 1, 5, 3]",False
9150,6,28,"[5, 5, 4, 5, 3, 6]",False
9151,6,11,"[1, 3, 1, 2, 1, 3]",False
9152,4,10,"[1, 1, 2, 1, 1, 4]",False
9153,5,27,"[5, 6, 6, 3, 6, 1]",False
9154,5,12,"[1, 1, 1, 3, 3, 3]",False
9155,6,29,"[6, 5, 5, 6, 5, 2]",False
9156,5,29,"[6, 6, 4, 5, 5, 3]",False
9157,5,31,"[6, 6, 6, 4, 4, 5]",False
9158,5,9,"[1, 1, 3, 1, 1, 2]",False
9159,4,8,"[1, 1, 1, 1, 1, 3]",False
9160,6,27,"[6, 6, 6, 5, 3, 1]",False
9161,6,8,"[1, 1, 1, 1, 2, 2]",False
9162,5,27,"[6, 6, 6, 4, 3, 2]",False
9163,5,31,"[6, 6, 6, 4, 3, 6]",False
